motif_long_name,motif_id
U2AF2_7mer_logoM077.PWM,434
U2af50_7mer_logoM078.PWM,435
unc75_7mer_logoM079.PWM,436
UNK_7mer_logo0.PWM,437
UNK_7mer_logo1.PWM,438
UNK_7mer_logo2.PWM,439
UNK_7mer_logo3.PWM,440
YB1_7mer_logoM081.PWM,441
YB1_7mer_logoM111.PWM,442
YBX2_7mer_logoM082.PWM,443
ZC3H10_7mer_logoM083.PWM,444
ZC3H14CONSTRUCT_7mer_logoM084.PWM,445
ZCRB1_7mer_logo0.PWM,446
ZCRB1_7mer_logo1.PWM,447
ZFP36_7mer_logo0.PWM,448
ZNF326_7mer_logo0.PWM,449
ZNF326_7mer_logo1.PWM,450
ZNF326_7mer_logo2.PWM,451
ZNF326_7mer_logo3.PWM,452
ZNF638_7mer_logoM155.PWM,453
